2022-01,20 22-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
402810,402875,400809,387587,377150,365466,366025,375846,391569,401561,406649,403339
404114,400175,396968,381605,371552,362748,366276,379054,395038,403661,406161,401089
404109,396335,392098,375386,366374,361303,367696,382825,398298,405186,404904,398250
402808,391584,386440,369383,362079,361380,370303,386975,401144,406000,402802,394805
400327,386251,380347,364108,359120,363079,373987,391248,403354,405958,399795,390754
396875,380737,374265,360071,357857,366319,378514,395347,404712,404925,395862,386142
392734,375483,368695,357694,358478,370844,383550,398962,405027,402801,391049,381082
388237,370921,364136,357234,360957,376264,388707,401803,404164,399546,385494,375781
383733,367412,361009,358722,365053,382117,393588,403627,402061,395201,379443,370544
379549,365198,359587,361964,370361,387934,397832,404262,398749,389908,373255,365764
375955,364368,359945,366587,376380,393293,401144,403622,394357,383923,367388,361883
373131,364857,361953,372111,382602,397853,403316,401719,389125,377611,362357,359334
371156,366472,365313,378039,388569,401377,404237,398662,383391,371435,358669,358461
370015,368949,369630,383925,393916,403731,403898,394658,377576,365913,356736,359440
369622,372005,374486,389412,398388,404884,402379,389995,372143,361555,356792,362236
369858,375388,379501,394252,401839,404890,399848,385024,367548,358785,358836,366602
370609,378907,384374,398298,404218,403871,396533,380125,364178,357861,362637,372124
371793,382438,388899,401494,405554,402000,392707,375668,362286,358831,367783,378294
373373,385912,392953,403844,405930,399470,388657,371967,361960,361523,373761,384591
375352,389298,396482,405394,405460,396480,384657,369246,363111,365592,380046,390546
377753,392574,399476,406200,404267,393208,380937,367612,365509,370593,386169,395778
380591,395702,401938,406315,402464,389799,377668,367052,368836,376065,391759,400023
383843,398613,403866,405770,400141,386360,374949,367457,372753,381594,396561,403130
387428,401194,405236,404570,397360,382959,372815,368662,376952,386853,400430,405054
391198,403299,405996,402697,394158,379640,371252,370483,381189,391616,403318,405840
394942,404752,406063,400117,390558,376448,370230,372760,385295,395752,405249,405599
398406,405373,405337,396804,386591,373443,369724,375371,389171,399209,406294,404486
401317,404995,403718,392757,382314,370728,369733,378244,392765,401985,406545,402672
403410,403494,401129,388029,377842,368454,370295,381336,396050,404102,406094,400323
404462,400809,397536,382752,373357,366815,371467,384621,398998,405585,405011,397581
404310,396968,392978,377150,369123,366025,373307,388057,401561,406441,403339,394551
