2022-01,20 22-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
357399,361289,365278,380406,392977,404029,405756,398641,384866,375464,370209,374214
356573,364948,367919,384787,396503,405090,404628,395031,380556,372666,370518,377043
357770,369950,371814,389378,399654,405269,402587,390717,376112,370181,371334,380036
360864,375828,376674,393837,402181,404428,399581,385782,371743,368170,372719,383161
365515,382068,382105,397821,403847,402470,395606,380393,367737,366836,374732,386404
371241,388170,387665,401016,404456,399369,390739,374814,364440,366394,377403,389735
377506,393710,392918,403170,403873,395181,385149,369404,362208,367026,380698,393095
383802,398366,397484,404110,402041,390065,379114,364600,361353,368831,384502,396372
389700,401933,401064,403759,399000,384290,373020,360864,362072,371796,388622,399410
394885,404314,403462,402141,394892,378227,367335,358611,364399,375771,392796,402011
399158,405515,404586,399377,389960,372329,362564,358136,368181,380486,396722,403955
402427,405618,404447,395681,384538,367090,359183,359540,373103,385585,400089,405027
404689,404764,403151,391339,379033,362981,357551,362710,378740,390667,402611,405042
406002,403126,400875,386689,373880,360380,357840,367332,384616,395338,404056,403865
406461,400885,397851,382086,369500,359503,359999,372956,390272,399252,404265,401441
406171,398204,394342,377862,366236,360370,363769,379075,395314,402136,403173,397808
405227,395217,390608,374294,364309,362806,368737,385197,399439,403812,400814,393114
403700,392019,386883,371566,363786,366488,374417,390901,402451,404203,397326,387614
401627,388665,383354,369759,364583,371016,380332,395867,404261,403333,392948,381673
399014,385183,380145,368857,366497,375983,386069,399885,404875,401323,388000,375737
395850,381596,377320,368768,369254,381028,391312,402853,404384,398372,382863,370297
392125,377950,374895,369364,372573,385874,395849,404755,402940,394739,377941,365825
387856,374335,372865,370517,376199,390329,399566,405648,400734,390720,373617,362712
383114,370905,371227,372126,379939,394285,402428,405631,397973,386616,370200,361200
378050,367883,370008,374129,383661,397691,404454,404828,394855,382699,367892,361342
372911,365544,369274,376501,387286,400534,405694,403362,391551,379189,366759,363008
368035,364177,369133,379235,390768,402813,406204,401340,388191,376230,366744,365918
363835,364036,369707,382320,394070,404517,406030,398843,384861,373889,367688,369711
360744,365278,371108,385710,397141,405617,405196,395921,381609,372163,369384,374015
359149,367919,373392,389312,399904,406056,403702,392602,378466,371010,371619,378499
359308,371814,376533,392977,402247,405756,401526,388905,375464,370372,374214,382910
