2022-01,20 22-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
403861,402748,400296,386485,376399,366986,369245,380576,395601,403838,405914,400311
404578,399583,396215,380740,371516,365164,370285,383874,398581,405294,404819,397653
404001,395275,391156,374771,367014,364380,372159,387426,401205,406133,403091,394643
402116,390029,385324,368980,363283,364835,374880,391115,403347,406293,400703,391305
399009,384158,379036,363845,360722,366628,378379,394769,404857,405688,397625,387650
394875,378076,372721,359862,359668,369720,382491,398170,405571,404225,393839,383704
390003,372262,366883,357471,360322,373922,386966,401077,405334,401826,389371,379530
384758,367213,362054,356966,362705,378922,391496,403248,404020,398444,384313,375257
379551,363376,358710,358434,366637,384326,395744,404463,401557,394098,378847,371091
374796,361081,357195,361731,371768,389707,399386,404550,397948,388890,373259,367320
370859,360479,357643,366510,377641,394660,402137,403408,393290,383024,367933,364285
368007,361528,359961,372294,383760,398838,403778,401019,387786,376820,363322,362340
366379,364008,363850,378559,389654,401978,404176,397464,381751,370702,359897,361788
365971,367580,368872,384808,394929,403918,403291,392929,375599,365171,358065,362810
366660,371857,374537,390628,399289,404594,401182,387697,369815,360746,358090,365419
368238,376472,380381,395709,402547,404042,398004,382137,364903,357888,360027,369442
370471,381117,386014,399859,404623,402382,393996,376674,361316,356912,363706,374546
373141,385571,391151,402985,405528,399804,389463,371749,359381,357921,368761,380288
376078,389698,395612,405081,405351,396547,384752,367759,359243,360783,374705,386184
379171,393428,399307,406204,404232,392871,380214,365008,360836,365165,381008,391773
382365,396738,402218,406445,402343,389034,376166,363657,363911,370599,387174,396662
385634,399620,404369,405912,399864,385263,372856,363711,368093,376575,392791,400557
388958,402060,405802,404704,396959,381735,370437,365029,372957,382614,397556,403271
392299,404019,406556,402899,393767,378569,368959,367370,378098,388321,401284,404728
395577,405428,406649,400548,390389,375826,368378,370447,383178,393406,403896,404956
398667,406183,406071,397675,386892,373524,368590,373980,387949,397692,405405,404063
401398,406163,404788,394289,383320,371665,369462,377735,392254,401097,405894,402226
403567,405240,402746,390401,379718,370255,370873,381540,396012,403615,405487,399661
404963,403306,399895,386050,376147,369330,372731,385283,399194,405290,404331,396601
405386,400296,396208,381328,372716,368961,374982,388902,401801,406188,402565,393266
404680,396215,391705,376399,369588,369245,377602,392354,403838,406379,400311,389843
