2022-01,20 22-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
391298,376876,371172,365223,367747,382028,392503,403255,402888,395850,379267,367716
387855,374525,369711,367455,372487,387694,397242,404710,400568,391277,373559,362785
384242,372521,369097,370417,377541,392790,400991,404990,397395,386284,368553,359305
380491,370877,369218,373830,382572,397132,403672,404205,393638,381256,364679,357623
376669,369648,369941,377467,387330,400631,405292,402516,389588,376581,362256,357883
372905,368938,371153,381160,391652,403269,405919,400119,385532,372604,361438,359999
369402,368881,372778,384808,395452,405074,405659,397215,381720,369588,362194,363683
366426,369622,374784,388351,398696,406099,404635,393993,378342,367675,364328,368507
364287,371270,377172,391758,401379,406400,402967,390611,375515,366886,367530,373990
363283,373861,379950,394992,403498,406015,400755,387187,373285,367128,371443,379676
363645,377331,383106,397995,405038,404964,398072,383797,371644,368233,375725,385185
365480,381509,386585,400676,405960,403240,394966,380489,370553,370006,380091,390238
368730,386124,390271,402909,406198,400820,391464,377301,369972,372263,384337,394661
373172,390841,393987,404536,405667,397680,387594,374280,369887,374859,388337,398373
378451,395296,397507,405388,404273,393816,383406,371513,370319,377700,392025,401357
384126,399141,400573,405302,401939,389267,378995,369132,371320,380738,395375,403640
389740,402072,402927,404143,398623,384142,374521,367318,372954,383947,398372,405258
394866,403859,404332,401833,394342,378635,370223,366283,375267,387300,400991,406244
399149,404367,404603,398366,389199,373043,366409,366231,378256,390744,403177,406602
402333,403558,403626,393831,383397,367751,363432,367314,381845,394184,404842,406307
404269,401500,401378,388424,377250,363209,361637,369588,385878,397478,405867,405308
404914,398356,397934,382453,371175,359873,361301,372983,390122,400437,406111,403531
404327,394379,393478,376323,365660,358130,362569,377299,394291,402847,405435,400909
402649,389884,388293,370516,361216,358222,365411,382228,398073,404486,403720,397395
400089,385224,382751,365532,358295,360186,369619,387391,401166,405148,400893,392999
396893,380751,377281,361827,357211,363845,374835,392387,403307,404674,396955,387805
393325,376776,372325,359737,358072,368837,380612,396839,404295,402969,391998,382001
389631,373538,368286,359419,360763,374687,386477,400427,404015,400023,386225,375887
386019,371172,365470,360825,364966,380884,391990,402915,402444,395927,379955,369871
382640,369711,364041,363721,370236,386954,396785,404164,399663,390883,373616,364447
379581,369097,364005,367747,376079,392503,400594,404135,395850,385196,367716,360133
