2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
386474,372357,366343,362709,367066,382842,393361,403328,401807,394442,377807,367410
383244,370993,365452,365916,372510,388768,397959,404348,398912,389366,371765,362413
380193,370279,365769,370008,378305,394056,401513,404128,395107,383826,366410,358801
377335,370127,367114,374599,384032,398477,403911,402766,390684,378240,362237,356973
374681,370461,369252,379345,389365,401905,405140,400435,385984,373058,359642,357135
372269,371244,371940,383980,394079,404308,405266,397359,381364,368709,358848,359260
370183,372479,374968,388322,398050,405721,404415,393798,377159,365539,359871,363091
368561,374201,378180,392266,401232,406224,402750,390011,373642,363763,362518,368202
367583,376454,381482,395766,403631,405920,400447,386234,370998,363437,366438,374079
367447,379257,384823,398806,405285,404911,397678,382662,369302,364455,371204,380211
368322,382577,388176,401377,406235,403284,394586,379426,368531,366593,376379,386153
370300,386309,391509,403455,406509,401098,391283,376601,368587,369556,381585,391561
373364,390275,394766,404990,406114,398389,387844,374214,369335,373047,386532,396206
377368,394233,397850,405904,405029,395170,384320,372265,370639,376801,391026,399967
382048,397899,400622,406091,403213,391452,380750,370753,372390,380621,394964,402811
387053,400981,402906,405435,400618,387267,377191,369703,374522,384377,398307,404770
391991,403206,404506,403828,397213,382688,373735,369172,377005,387998,401059,405912
396475,404349,405229,401192,393004,377857,370529,369251,379827,391445,403236,406317
400161,404259,404905,397508,388061,372996,367777,370046,382972,394691,404846,406056
402781,402872,403417,392833,382542,368413,365727,371647,386395,397698,405875,405176
404161,400226,400718,387324,376708,364480,364637,374091,390001,400395,406276,403692
404227,396462,396856,381251,370919,361591,364726,377339,393641,402677,405976,401592
403012,391825,391980,374992,365624,360101,366127,381258,397115,404405,404881,398844
400646,386645,386352,369016,361307,360253,368841,385623,400189,405418,402900,395420
397343,381319,380338,363841,358424,362122,372723,390143,402615,405552,399963,391318
393385,376266,374387,359964,357317,365587,377495,394488,404162,404662,396051,386587
389090,371888,368991,357779,358142,370349,382784,398324,404635,402644,391218,381360
384784,368510,364622,357504,360832,375983,388170,401351,403902,399465,385617,375864
380764,366343,361669,359135,365110,382003,393242,403329,401911,395177,379513,370432
377266,365452,360367,362451,370541,387934,397634,404094,398709,389939,373285,365484
374443,365769,360762,367066,376620,393361,401060,403577,394442,384021,367410,361488
