2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
358891,364505,369884,385224,396971,405761,405529,396267,381872,372859,370260,375504
358034,367859,372495,389078,399854,406191,403936,392680,378314,371277,371972,379455
359081,372442,376074,393000,402300,405806,401569,388607,374821,370134,374053,383348
361971,377865,380418,396732,404124,404498,398390,384109,371520,369468,376457,387087
366429,383668,385226,399994,405138,402182,394395,379305,368595,369356,379170,390626
372015,389381,390132,402511,405166,398819,389637,374397,366284,369901,382187,393943
378211,394576,394755,404044,404076,394443,384247,369667,364848,371207,385486,397015
384496,398911,398738,404412,401795,389180,378456,365474,364528,373341,389001,399794
390408,402145,401780,403517,398336,383262,372597,362213,365494,376301,392614,402202
395589,404146,403663,401349,393809,377030,367096,360259,367797,379993,396149,404118
399793,404889,404267,398006,388433,370927,362431,359898,371341,384228,399384,405394
402890,404443,403571,393684,382533,365453,359073,361261,375888,388738,402076,405868
404853,402952,401658,388675,376526,361117,357403,364284,381088,393198,403979,405383
405732,400617,398700,383348,370887,358351,357640,368718,386527,397269,404875,403813
405641,397669,394947,378114,366100,357433,359783,374165,391780,400630,404599,401085
404723,394344,390703,373389,362589,358435,363615,380150,396458,403009,403060,397209
403131,390857,386296,369537,360650,361205,368742,386184,400242,404206,400258,392289
401005,387382,382047,366826,360404,365409,374673,391828,402904,404115,396298,386546
398458,384044,378231,365391,361778,370601,380899,396726,404319,402726,391394,380314
395566,380912,375051,365222,364535,376303,386957,400627,404464,400132,385862,374033
392371,378016,372622,366187,368328,382076,392474,403389,403410,396524,380107,368214
388893,375366,370967,368071,372771,387563,397189,404970,401312,392175,374584,363382
385147,372981,370042,370625,377504,392507,400943,405414,398388,387424,369755,360000
381173,370912,369760,373619,382227,396752,403678,404832,394895,382639,366023,358388
377059,369255,370031,376867,386727,400223,405407,403382,391103,378182,363673,358663
372965,368157,370786,380240,390868,402911,406199,401240,387267,374364,362829,360719
369126,367791,371995,383662,394579,404839,406149,398584,383602,371410,363443,364260
365847,368327,373665,387089,397830,406044,405360,395568,380265,369437,365320,368868
363471,369884,375823,390488,400606,406558,403922,392317,377345,368447,368167,374084
362319,372495,378488,393809,402885,406391,401904,388916,374878,368351,371662,379484
362632,376074,381647,396971,404627,405529,399346,385422,372859,369008,375504,384721
