"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/04/01","00:00","2.05","-","2.57"
"2022/04/01","00:06","2.099","-","2.61"
"2022/04/01","00:12","2.145","-","2.7"
"2022/04/01","00:18","2.188","-","2.77"
"2022/04/01","00:24","2.228","-","2.77"
"2022/04/01","00:30","2.265","-","2.84"
"2022/04/01","00:36","2.298","-","2.85"
"2022/04/01","00:42","2.328","-","2.92"
"2022/04/01","00:48","2.354","-","2.92"
"2022/04/01","00:54","2.377","-","3"
"2022/04/01","01:00","2.395","-","3"
"2022/04/01","01:06","2.41","-","3.06"
"2022/04/01","01:12","2.42","-","3.08"
"2022/04/01","01:18","2.427","-","3.11"
"2022/04/01","01:24","2.43","-","3.16"
"2022/04/01","01:30","2.428","-","3.22"
"2022/04/01","01:36","2.423","-","3.12"
"2022/04/01","01:42","2.414","-","3.18"
"2022/04/01","01:48","2.401","-","3.24"
"2022/04/01","01:54","2.385","-","3.13"
"2022/04/01","02:00","2.365","-","3.09"
"2022/04/01","02:06","2.342","-","3.16"
"2022/04/01","02:12","2.316","-","3.1"
"2022/04/01","02:18","2.288","-","3.07"
"2022/04/01","02:24","2.257","-","3.06"
"2022/04/01","02:30","2.224","-","3.03"
"2022/04/01","02:36","2.189","-","3"
"2022/04/01","02:42","2.152","-","3.08"
"2022/04/01","02:48","2.114","-","2.9"
"2022/04/01","02:54","2.074","-","2.85"
"2022/04/01","03:00","2.033","-","2.86"
"2022/04/01","03:06","1.992","-","2.79"
"2022/04/01","03:12","1.949","-","2.62"
"2022/04/01","03:18","1.907","-","2.59"
"2022/04/01","03:24","1.863","-","2.63"
"2022/04/01","03:30","1.82","-","2.65"
"2022/04/01","03:36","1.776","-","2.6"
"2022/04/01","03:42","1.732","-","2.4"
"2022/04/01","03:48","1.687","-","2.35"
"2022/04/01","03:54","1.643","-","2.51"
"2022/04/01","04:00","1.598","-","2.42"
"2022/04/01","04:06","1.553","-","2"
"2022/04/01","04:12","1.507","-","2.2"
"2022/04/01","04:18","1.461","-","2.22"
"2022/04/01","04:24","1.414","-","2.17"
"2022/04/01","04:30","1.367","-","1.88"
"2022/04/01","04:36","1.319","-","2.02"
"2022/04/01","04:42","1.271","-","1.84"
"2022/04/01","04:48","1.222","-","1.95"
"2022/04/01","04:54","1.171","-","1.87"
"2022/04/01","05:00","1.12","-","1.67"
"2022/04/01","05:06","1.068","-","1.68"
"2022/04/01","05:12","1.015","-","1.68"
"2022/04/01","05:18","0.961","-","1.7"
"2022/04/01","05:24","0.905","-","1.46"
"2022/04/01","05:30","0.85","-","1.46"
"2022/04/01","05:36","0.793","-","1.43"
"2022/04/01","05:42","0.735","-","1.32"
"2022/04/01","05:48","0.678","-","1.25"
"2022/04/01","05:54","0.619","-","1.17"
"2022/04/01","06:00","0.561","-","1.14"
"2022/04/01","06:06","0.502","-","0.98"
"2022/04/01","06:12","0.444","-","1.05"
"2022/04/01","06:18","0.386","-","0.99"
"2022/04/01","06:24","0.329","-","0.82"
"2022/04/01","06:30","0.273","-","0.87"
"2022/04/01","06:36","0.218","-","0.78"
"2022/04/01","06:42","0.165","-","0.78"
"2022/04/01","06:48","0.113","-","0.76"
"2022/04/01","06:54","0.064","-","0.67"
"2022/04/01","07:00","0.017","-","0.62"
"2022/04/01","07:06","-0.028","-","0.65"
"2022/04/01","07:12","-0.069","-","0.57"
"2022/04/01","07:18","-0.108","-","0.45"
"2022/04/01","07:24","-0.143","-","0.47"
"2022/04/01","07:30","-0.174","-","0.45"
"2022/04/01","07:36","-0.202","-","0.47"
"2022/04/01","07:42","-0.225","-","0.45"
"2022/04/01","07:48","-0.245","-","0.42"
"2022/04/01","07:54","-0.26","-","0.52"
"2022/04/01","08:00","-0.271","-","0.5"
"2022/04/01","08:06","-0.278","-","0.5"
"2022/04/01","08:12","-0.28","-","0.54"
"2022/04/01","08:18","-0.277","-","0.47"
"2022/04/01","08:24","-0.271","-","0.51"
"2022/04/01","08:30","-0.259","-","0.53"
"2022/04/01","08:36","-0.244","-","0.47"
"2022/04/01","08:42","-0.224","-","0.49"
"2022/04/01","08:48","-0.2","-","0.5"
"2022/04/01","08:54","-0.172","-","0.55"
"2022/04/01","09:00","-0.141","-","0.57"
"2022/04/01","09:06","-0.106","-","0.58"
"2022/04/01","09:12","-0.067","-","0.84"
"2022/04/01","09:18","-0.025","-","0.77"
"2022/04/01","09:24","0.02","-","0.79"
"2022/04/01","09:30","0.068","-","0.84"
"2022/04/01","09:36","0.118","-","0.9"
"2022/04/01","09:42","0.171","-","0.92"
"2022/04/01","09:48","0.226","-","1.01"
"2022/04/01","09:54","0.282","-","1.01"
"2022/04/01","10:00","0.34","-","1.09"
"2022/04/01","10:06","0.4","-","1.13"
"2022/04/01","10:12","0.46","-","1.2"
"2022/04/01","10:18","0.522","-","1.26"
"2022/04/01","10:24","0.584","-","1.34"
"2022/04/01","10:30","0.647","-","1.4"
"2022/04/01","10:36","0.711","-","1.51"
"2022/04/01","10:42","0.774","-","1.59"
"2022/04/01","10:48","0.838","-","1.53"
"2022/04/01","10:54","0.901","-","1.63"
"2022/04/01","11:00","0.965","-","1.73"
"2022/04/01","11:06","1.028","-","1.68"
"2022/04/01","11:12","1.09","-","1.8"
"2022/04/01","11:18","1.152","-","1.87"
"2022/04/01","11:24","1.214","-","1.92"
"2022/04/01","11:30","1.274","-","2"
"2022/04/01","11:36","1.334","-","2.1"
"2022/04/01","11:42","1.392","-","2.04"
"2022/04/01","11:48","1.45","-","2.13"
"2022/04/01","11:54","1.506","-","2.3"
"2022/04/01","12:00","1.56","-","2.27"
"2022/04/01","12:06","1.613","-","2.18"
"2022/04/01","12:12","1.664","-","2.21"
"2022/04/01","12:18","1.714","-","2.38"
"2022/04/01","12:24","1.761","-","2.35"
"2022/04/01","12:30","1.805","-","2.34"
"2022/04/01","12:36","1.848","-","2.44"
"2022/04/01","12:42","1.887","-","2.44"
"2022/04/01","12:48","1.924","-","2.5"
"2022/04/01","12:54","1.958","-","2.56"
"2022/04/01","13:00","1.988","-","2.58"
"2022/04/01","13:06","2.015","-","2.58"
"2022/04/01","13:12","2.039","-","2.73"
"2022/04/01","13:18","2.059","-","2.76"
"2022/04/01","13:24","2.076","-","2.73"
"2022/04/01","13:30","2.088","-","2.67"
"2022/04/01","13:36","2.097","-","2.7"
"2022/04/01","13:42","2.102","-","2.91"
"2022/04/01","13:48","2.103","-","2.71"
"2022/04/01","13:54","2.101","-","2.71"
"2022/04/01","14:00","2.095","-","2.79"
"2022/04/01","14:06","2.085","-","2.82"
"2022/04/01","14:12","2.071","-","2.77"
"2022/04/01","14:18","2.055","-","2.67"
"2022/04/01","14:24","2.035","-","2.68"
"2022/04/01","14:30","2.012","-","2.66"
"2022/04/01","14:36","1.986","-","2.77"
"2022/04/01","14:42","1.959","-","2.55"
"2022/04/01","14:48","1.928","-","2.44"
"2022/04/01","14:54","1.896","-","2.53"
"2022/04/01","15:00","1.862","-","2.45"
"2022/04/01","15:06","1.827","-","2.31"
"2022/04/01","15:12","1.791","-","2.27"
"2022/04/01","15:18","1.753","-","2.32"
"2022/04/01","15:24","1.715","-","2.19"
"2022/04/01","15:30","1.677","-","2.19"
"2022/04/01","15:36","1.638","-","2.13"
"2022/04/01","15:42","1.598","-","2.11"
"2022/04/01","15:48","1.559","-","2.1"
"2022/04/01","15:54","1.52","-","2.06"
"2022/04/01","16:00","1.481","-","2"
"2022/04/01","16:06","1.442","-","1.97"
"2022/04/01","16:12","1.403","-","1.88"
"2022/04/01","16:18","1.364","-","1.89"
"2022/04/01","16:24","1.326","-","1.84"
"2022/04/01","16:30","1.288","-","1.74"
"2022/04/01","16:36","1.249","-","1.73"
"2022/04/01","16:42","1.211","-","1.75"
"2022/04/01","16:48","1.172","-","1.7"
"2022/04/01","16:54","1.134","-","1.5"
"2022/04/01","17:00","1.094","-","1.53"
"2022/04/01","17:06","1.055","-","1.65"
"2022/04/01","17:12","1.015","-","1.45"
"2022/04/01","17:18","0.975","-","1.4"
"2022/04/01","17:24","0.933","-","1.4"
"2022/04/01","17:30","0.891","-","1.35"
"2022/04/01","17:36","0.849","-","1.34"
"2022/04/01","17:42","0.806","-","1.38"
"2022/04/01","17:48","0.762","-","1.25"
