"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/04/01","17:54","0.717","-","1.22"
"2022/04/01","18:00","0.672","-","1.21"
"2022/04/01","18:06","0.626","-","1.16"
"2022/04/01","18:12","0.58","-","1.07"
"2022/04/01","18:18","0.534","-","1.04"
"2022/04/01","18:24","0.487","-","1"
"2022/04/01","18:30","0.441","-","1.03"
"2022/04/01","18:36","0.395","-","0.83"
"2022/04/01","18:42","0.349","-","0.87"
"2022/04/01","18:48","0.305","-","0.87"
"2022/04/01","18:54","0.261","-","0.81"
"2022/04/01","19:00","0.219","-","0.7"
"2022/04/01","19:06","0.178","-","0.64"
"2022/04/01","19:12","0.139","-","0.6"
"2022/04/01","19:18","0.102","-","0.6"
"2022/04/01","19:24","0.068","-","0.54"
"2022/04/01","19:30","0.036","-","0.49"
"2022/04/01","19:36","0.007","-","0.45"
"2022/04/01","19:42","-0.019","-","0.48"
"2022/04/01","19:48","-0.042","-","0.45"
"2022/04/01","19:54","-0.061","-","0.47"
"2022/04/01","20:00","-0.076","-","0.39"
"2022/04/01","20:06","-0.088","-","0.32"
"2022/04/01","20:12","-0.095","-","0.32"
"2022/04/01","20:18","-0.099","-","0.23"
"2022/04/01","20:24","-0.098","-","0.29"
"2022/04/01","20:30","-0.093","-","0.25"
"2022/04/01","20:36","-0.084","-","0.12"
"2022/04/01","20:42","-0.071","-","0.16"
"2022/04/01","20:48","-0.053","-","0.24"
"2022/04/01","20:54","-0.032","-","0.25"
"2022/04/01","21:00","-0.006","-","0.28"
"2022/04/01","21:06","0.024","-","0.36"
"2022/04/01","21:12","0.057","-","0.47"
"2022/04/01","21:18","0.094","-","0.47"
"2022/04/01","21:24","0.135","-","0.58"
"2022/04/01","21:30","0.179","-","0.67"
"2022/04/01","21:36","0.226","-","0.59"
"2022/04/01","21:42","0.276","-","0.62"
"2022/04/01","21:48","0.328","-","0.72"
"2022/04/01","21:54","0.383","-","0.85"
"2022/04/01","22:00","0.44","-","0.78"
"2022/04/01","22:06","0.499","-","0.82"
"2022/04/01","22:12","0.56","-","0.96"
"2022/04/01","22:18","0.622","-","0.99"
"2022/04/01","22:24","0.685","-","1.05"
"2022/04/01","22:30","0.75","-","1.19"
"2022/04/01","22:36","0.815","-","1.27"
"2022/04/01","22:42","0.881","-","1.33"
"2022/04/01","22:48","0.947","-","1.35"
"2022/04/01","22:54","1.013","-","1.41"
"2022/04/01","23:00","1.08","-","1.39"
"2022/04/01","23:06","1.147","-","1.45"
"2022/04/01","23:12","1.213","-","1.65"
"2022/04/01","23:18","1.279","-","1.73"
"2022/04/01","23:24","1.345","-","1.84"
"2022/04/01","23:30","1.41","-","1.89"
"2022/04/01","23:36","1.474","-","1.98"
"2022/04/01","23:42","1.538","-","1.86"
"2022/04/01","23:48","1.601","-","1.85"
"2022/04/01","23:54","1.663","-","1.99"
"2022/04/02","00:00","1.724","-","2"
"2022/04/02","00:06","1.783","-","2.01"
"2022/04/02","00:12","1.842","-","2.03"
"2022/04/02","00:18","1.899","-","2.05"
"2022/04/02","00:24","1.954","-","2.08"
"2022/04/02","00:30","2.007","-","2.1"
"2022/04/02","00:36","2.059","-","2.1"
"2022/04/02","00:42","2.109","-","2.22"
"2022/04/02","00:48","2.156","-","2.34"
"2022/04/02","00:54","2.201","-","2.33"
"2022/04/02","01:00","2.244","-","2.38"
"2022/04/02","01:06","2.283","-","2.38"
"2022/04/02","01:12","2.32","-","2.44"
"2022/04/02","01:18","2.353","-","2.45"
"2022/04/02","01:24","2.384","-","2.46"
"2022/04/02","01:30","2.41","-","2.52"
"2022/04/02","01:36","2.433","-","2.55"
"2022/04/02","01:42","2.452","-","2.55"
"2022/04/02","01:48","2.468","-","2.59"
"2022/04/02","01:54","2.479","-","2.62"
"2022/04/02","02:00","2.487","-","2.63"
"2022/04/02","02:06","2.49","-","2.61"
"2022/04/02","02:12","2.489","-","2.67"
"2022/04/02","02:18","2.484","-","2.67"
"2022/04/02","02:24","2.475","-","2.61"
"2022/04/02","02:30","2.463","-","2.69"
"2022/04/02","02:36","2.446","-","2.65"
"2022/04/02","02:42","2.426","-","2.63"
"2022/04/02","02:48","2.402","-","2.65"
"2022/04/02","02:54","2.376","-","2.59"
"2022/04/02","03:00","2.346","-","2.53"
"2022/04/02","03:06","2.313","-","2.51"
"2022/04/02","03:12","2.278","-","2.46"
"2022/04/02","03:18","2.241","-","2.37"
"2022/04/02","03:24","2.202","-","2.41"
"2022/04/02","03:30","2.161","-","2.32"
"2022/04/02","03:36","2.118","-","2.27"
"2022/04/02","03:42","2.075","-","2.17"
"2022/04/02","03:48","2.03","-","2.17"
"2022/04/02","03:54","1.985","-","2.13"
"2022/04/02","04:00","1.938","-","2"
"2022/04/02","04:06","1.892","-","1.92"
"2022/04/02","04:12","1.845","-","1.94"
"2022/04/02","04:18","1.798","-","1.9"
"2022/04/02","04:24","1.751","-","1.82"
"2022/04/02","04:30","1.703","-","1.75"
"2022/04/02","04:36","1.656","-","1.72"
"2022/04/02","04:42","1.609","-","1.71"
"2022/04/02","04:48","1.561","-","1.68"
"2022/04/02","04:54","1.514","-","1.59"
"2022/04/02","05:00","1.466","-","1.53"
"2022/04/02","05:06","1.418","-","1.5"
"2022/04/02","05:12","1.37","-","1.41"
"2022/04/02","05:18","1.321","-","1.31"
"2022/04/02","05:24","1.272","-","1.23"
"2022/04/02","05:30","1.223","-","1.22"
"2022/04/02","05:36","1.173","-","1.13"
"2022/04/02","05:42","1.122","-","1.08"
"2022/04/02","05:48","1.07","-","1.04"
"2022/04/02","05:54","1.018","-","1.04"
"2022/04/02","06:00","0.965","-","0.93"
"2022/04/02","06:06","0.911","-","0.88"
"2022/04/02","06:12","0.856","-","0.84"
"2022/04/02","06:18","0.801","-","0.78"
"2022/04/02","06:24","0.745","-","0.72"
"2022/04/02","06:30","0.688","-","0.67"
"2022/04/02","06:36","0.631","-","0.59"
"2022/04/02","06:42","0.574","-","0.46"
"2022/04/02","06:48","0.517","-","0.44"
"2022/04/02","06:54","0.46","-","0.34"
"2022/04/02","07:00","0.404","-","0.28"
"2022/04/02","07:06","0.348","-","0.14"
"2022/04/02","07:12","0.293","-","0.12"
"2022/04/02","07:18","0.239","-","0.05"
"2022/04/02","07:24","0.187","-","-0.03"
"2022/04/02","07:30","0.136","-","-0.11"
"2022/04/02","07:36","0.087","-","-0.19"
"2022/04/02","07:42","0.041","-","-0.19"
"2022/04/02","07:48","-0.003","-","-0.31"
"2022/04/02","07:54","-0.045","-","-0.37"
"2022/04/02","08:00","-0.083","-","-0.36"
"2022/04/02","08:06","-0.118","-","-0.44"
"2022/04/02","08:12","-0.149","-","-0.5"
"2022/04/02","08:18","-0.177","-","-0.48"
"2022/04/02","08:24","-0.201","-","-0.52"
"2022/04/02","08:30","-0.221","-","-0.56"
"2022/04/02","08:36","-0.237","-","-0.58"
"2022/04/02","08:42","-0.248","-","-0.56"
"2022/04/02","08:48","-0.255","-","-0.58"
"2022/04/02","08:54","-0.258","-","-0.57"
"2022/04/02","09:00","-0.257","-","-0.47"
"2022/04/02","09:06","-0.251","-","-0.55"
"2022/04/02","09:12","-0.241","-","-0.56"
"2022/04/02","09:18","-0.227","-","-0.56"
"2022/04/02","09:24","-0.209","-","-0.5"
"2022/04/02","09:30","-0.186","-","-0.48"
"2022/04/02","09:36","-0.16","-","-0.47"
"2022/04/02","09:42","-0.131","-","-0.47"
"2022/04/02","09:48","-0.097","-","-0.37"
"2022/04/02","09:54","-0.061","-","-0.36"
"2022/04/02","10:00","-0.021","-","-0.38"
"2022/04/02","10:06","0.022","-","-0.24"
"2022/04/02","10:12","0.067","-","-0.23"
"2022/04/02","10:18","0.115","-","-0.2"
"2022/04/02","10:24","0.164","-","-0.17"
"2022/04/02","10:30","0.216","-","-0.04"
"2022/04/02","10:36","0.269","-","-0.06"
"2022/04/02","10:42","0.324","-","0.1"
"2022/04/02","10:48","0.38","-","0.09"
"2022/04/02","10:54","0.437","-","0.14"
"2022/04/02","11:00","0.495","-","0.22"
"2022/04/02","11:06","0.554","-","0.31"
"2022/04/02","11:12","0.613","-","0.32"
"2022/04/02","11:18","0.672","-","0.4"
"2022/04/02","11:24","0.732","-","0.39"
"2022/04/02","11:30","0.791","-","0.46"
"2022/04/02","11:36","0.851","-","0.55"
"2022/04/02","11:42","0.91","-","0.62"
"2022/04/02","11:48","0.969","-","0.66"
"2022/04/02","11:54","1.027","-","0.7"
"2022/04/02","12:00","1.085","-","0.77"
"2022/04/02","12:06","1.142","-","0.81"
"2022/04/02","12:12","1.199","-","0.88"
"2022/04/02","12:18","1.254","-","0.84"
"2022/04/02","12:24","1.309","-","0.95"
"2022/04/02","12:30","1.363","-","0.96"
"2022/04/02","12:36","1.415","-","0.97"
"2022/04/02","12:42","1.467","-","1.05"
"2022/04/02","12:48","1.517","-","1.06"
"2022/04/02","12:54","1.565","-","1.14"
"2022/04/02","13:00","1.612","-","1.19"
"2022/04/02","13:06","1.656","-","1.21"
"2022/04/02","13:12","1.699","-","1.28"
"2022/04/02","13:18","1.74","-","1.3"
"2022/04/02","13:24","1.778","-","1.36"
"2022/04/02","13:30","1.813","-","1.31"
"2022/04/02","13:36","1.846","-","1.38"
"2022/04/02","13:42","1.876","-","1.41"
"2022/04/02","13:48","1.903","-","1.44"
"2022/04/02","13:54","1.926","-","1.46"
"2022/04/02","14:00","1.947","-","1.47"
"2022/04/02","14:06","1.963","-","1.56"
"2022/04/02","14:12","1.976","-","1.56"
"2022/04/02","14:18","1.986","-","1.55"
"2022/04/02","14:24","1.991","-","1.58"
"2022/04/02","14:30","1.993","-","1.57"
"2022/04/02","14:36","1.991","-","1.59"
"2022/04/02","14:42","1.986","-","1.6"
"2022/04/02","14:48","1.977","-","1.54"
"2022/04/02","14:54","1.964","-","1.55"
"2022/04/02","15:00","1.948","-","1.56"
"2022/04/02","15:06","1.928","-","1.52"
"2022/04/02","15:12","1.906","-","1.45"
"2022/04/02","15:18","1.881","-","1.48"
"2022/04/02","15:24","1.853","-","1.42"
"2022/04/02","15:30","1.823","-","1.36"
"2022/04/02","15:36","1.791","-","1.37"
"2022/04/02","15:42","1.757","-","1.27"
"2022/04/02","15:48","1.721","-","1.2"
"2022/04/02","15:54","1.684","-","1.21"
"2022/04/02","16:00","1.647","-","1.12"
"2022/04/02","16:06","1.608","-","1.09"
"2022/04/02","16:12","1.569","-","1.04"
"2022/04/02","16:18","1.53","-","0.97"
"2022/04/02","16:24","1.491","-","0.93"
"2022/04/02","16:30","1.452","-","0.93"
"2022/04/02","16:36","1.413","-","0.87"
"2022/04/02","16:42","1.374","-","0.78"
"2022/04/02","16:48","1.336","-","0.77"
"2022/04/02","16:54","1.298","-","0.73"
"2022/04/02","17:00","1.26","-","0.72"
"2022/04/02","17:06","1.224","-","0.73"
"2022/04/02","17:12","1.187","-","0.64"
"2022/04/02","17:18","1.152","-","0.65"
"2022/04/02","17:24","1.116","-","0.63"
"2022/04/02","17:30","1.081","-","0.58"
"2022/04/02","17:36","1.046","-","0.61"
"2022/04/02","17:42","1.011","-","0.57"
"2022/04/02","17:48","0.976","-","0.53"
"2022/04/02","17:54","0.941","-","0.51"
"2022/04/02","18:00","0.906","-","0.52"
"2022/04/02","18:06","0.87","-","0.53"
"2022/04/02","18:12","0.835","-","0.5"
"2022/04/02","18:18","0.798","-","0.44"
"2022/04/02","18:24","0.762","-","0.49"
"2022/04/02","18:30","0.725","-","0.47"
"2022/04/02","18:36","0.688","-","0.41"
"2022/04/02","18:42","0.65","-","0.43"
"2022/04/02","18:48","0.612","-","0.42"
"2022/04/02","18:54","0.573","-","0.34"
"2022/04/02","19:00","0.535","-","0.35"
"2022/04/02","19:06","0.496","-","0.38"
"2022/04/02","19:12","0.458","-","0.26"
"2022/04/02","19:18","0.42","-","0.24"
"2022/04/02","19:24","0.382","-","0.28"
"2022/04/02","19:30","0.346","-","0.17"
"2022/04/02","19:36","0.31","-","0.14"
"2022/04/02","19:42","0.275","-","0.18"
"2022/04/02","19:48","0.242","-","0.12"
"2022/04/02","19:54","0.21","-","0.02"
"2022/04/02","20:00","0.18","-","0.1"
"2022/04/02","20:06","0.153","-","0.04"
"2022/04/02","20:12","0.128","-","0.04"
"2022/04/02","20:18","0.105","-","0.02"
"2022/04/02","20:24","0.085","-","-0.03"
"2022/04/02","20:30","0.069","-","-0.04"
"2022/04/02","20:36","0.055","-","-0.07"
"2022/04/02","20:42","0.045","-","-0.02"
"2022/04/02","20:48","0.038","-","-0.1"
"2022/04/02","20:54","0.035","-","-0.05"
"2022/04/02","21:00","0.035","-","-0.05"
"2022/04/02","21:06","0.039","-","-0.09"
"2022/04/02","21:12","0.047","-","0"
"2022/04/02","21:18","0.059","-","0.02"
"2022/04/02","21:24","0.075","-","0.02"
"2022/04/02","21:30","0.094","-","0.02"
"2022/04/02","21:36","0.117","-","0.1"
"2022/04/02","21:42","0.144","-","0.12"
"2022/04/02","21:48","0.174","-","0.17"
"2022/04/02","21:54","0.208","-","0.27"
"2022/04/02","22:00","0.244","-","0.23"
"2022/04/02","22:06","0.284","-","0.36"
"2022/04/02","22:12","0.327","-","0.43"
"2022/04/02","22:18","0.372","-","0.44"
"2022/04/02","22:24","0.42","-","0.5"
"2022/04/02","22:30","0.47","-","0.63"
"2022/04/02","22:36","0.523","-","0.63"
"2022/04/02","22:42","0.577","-","0.72"
"2022/04/02","22:48","0.632","-","0.82"
"2022/04/02","22:54","0.689","-","0.92"
"2022/04/02","23:00","0.747","-","0.91"
"2022/04/02","23:06","0.807","-","1.02"
"2022/04/02","23:12","0.867","-","1.11"
"2022/04/02","23:18","0.927","-","1.09"
"2022/04/02","23:24","0.988","-","1.23"
"2022/04/02","23:30","1.049","-","1.29"
"2022/04/02","23:36","1.111","-","1.29"
"2022/04/02","23:42","1.172","-","1.41"
"2022/04/02","23:48","1.233","-","1.46"
"2022/04/02","23:54","1.294","-","1.5"
"2022/04/03","00:00","1.355","-","1.57"
"2022/04/03","00:06","1.415","-","1.64"
"2022/04/03","00:12","1.475","-","1.69"
"2022/04/03","00:18","1.534","-","1.78"
"2022/04/03","00:24","1.592","-","1.82"
"2022/04/03","00:30","1.649","-","1.84"
"2022/04/03","00:36","1.706","-","1.96"
"2022/04/03","00:42","1.761","-","2.04"
"2022/04/03","00:48","1.816","-","2.02"
"2022/04/03","00:54","1.869","-","2.1"
"2022/04/03","01:00","1.921","-","2.17"
"2022/04/03","01:06","1.972","-","2.19"
"2022/04/03","01:12","2.022","-","2.21"
"2022/04/03","01:18","2.069","-","2.29"
"2022/04/03","01:24","2.115","-","2.33"
"2022/04/03","01:30","2.159","-","2.33"
"2022/04/03","01:36","2.201","-","2.4"
"2022/04/03","01:42","2.241","-","2.42"
"2022/04/03","01:48","2.278","-","2.43"
"2022/04/03","01:54","2.313","-","2.47"
"2022/04/03","02:00","2.344","-","2.52"
"2022/04/03","02:06","2.373","-","2.54"
"2022/04/03","02:12","2.399","-","2.6"
"2022/04/03","02:18","2.421","-","2.65"
"2022/04/03","02:24","2.44","-","2.62"
"2022/04/03","02:30","2.455","-","2.69"
"2022/04/03","02:36","2.466","-","2.74"
"2022/04/03","02:42","2.473","-","2.73"
"2022/04/03","02:48","2.477","-","2.76"
"2022/04/03","02:54","2.477","-","2.77"
"2022/04/03","03:00","2.473","-","2.77"
"2022/04/03","03:06","2.464","-","2.79"
"2022/04/03","03:12","2.452","-","2.74"
"2022/04/03","03:18","2.437","-","2.74"
"2022/04/03","03:24","2.417","-","2.72"
"2022/04/03","03:30","2.395","-","2.65"
"2022/04/03","03:36","2.368","-","2.64"
"2022/04/03","03:42","2.339","-","2.61"
"2022/04/03","03:48","2.307","-","2.56"
"2022/04/03","03:54","2.272","-","2.55"
"2022/04/03","04:00","2.235","-","2.49"
"2022/04/03","04:06","2.196","-","2.42"
"2022/04/03","04:12","2.154","-","2.44"
"2022/04/03","04:18","2.111","-","2.38"
"2022/04/03","04:24","2.067","-","2.3"
"2022/04/03","04:30","2.022","-","2.21"
"2022/04/03","04:36","1.976","-","2.14"
"2022/04/03","04:42","1.929","-","2.15"
"2022/04/03","04:48","1.881","-","2.1"
"2022/04/03","04:54","1.833","-","1.95"
"2022/04/03","05:00","1.785","-","2.02"
"2022/04/03","05:06","1.737","-","2"
"2022/04/03","05:12","1.689","-","1.9"
"2022/04/03","05:18","1.641","-","1.86"
"2022/04/03","05:24","1.593","-","1.87"
"2022/04/03","05:30","1.545","-","1.83"
"2022/04/03","05:36","1.497","-","1.75"
"2022/04/03","05:42","1.45","-","1.77"
"2022/04/03","05:48","1.402","-","1.66"
"2022/04/03","05:54","1.354","-","1.61"
"2022/04/03","06:00","1.306","-","1.65"
"2022/04/03","06:06","1.258","-","1.55"
"2022/04/03","06:12","1.21","-","1.53"
"2022/04/03","06:18","1.161","-","1.45"
"2022/04/03","06:24","1.112","-","1.43"
"2022/04/03","06:30","1.063","-","1.39"
"2022/04/03","06:36","1.013","-","1.28"
"2022/04/03","06:42","0.962","-","1.32"
"2022/04/03","06:48","0.911","-","1.22"
"2022/04/03","06:54","0.86","-","1.2"
"2022/04/03","07:00","0.808","-","1.14"
"2022/04/03","07:06","0.755","-","1.08"
"2022/04/03","07:12","0.702","-","1.04"
"2022/04/03","07:18","0.649","-","0.94"
"2022/04/03","07:24","0.596","-","0.92"
"2022/04/03","07:30","0.543","-","0.85"
"2022/04/03","07:36","0.49","-","0.78"
"2022/04/03","07:42","0.437","-","0.82"
"2022/04/03","07:48","0.385","-","0.72"
"2022/04/03","07:54","0.334","-","0.66"
"2022/04/03","08:00","0.284","-","0.65"
"2022/04/03","08:06","0.236","-","0.64"
"2022/04/03","08:12","0.188","-","0.54"
"2022/04/03","08:18","0.143","-","0.49"
"2022/04/03","08:24","0.1","-","0.48"
"2022/04/03","08:30","0.059","-","0.39"
"2022/04/03","08:36","0.021","-","0.35"
"2022/04/03","08:42","-0.015","-","0.34"
"2022/04/03","08:48","-0.047","-","0.24"
"2022/04/03","08:54","-0.077","-","0.22"
"2022/04/03","09:00","-0.103","-","0.23"
"2022/04/03","09:06","-0.125","-","0.22"
"2022/04/03","09:12","-0.144","-","0.1"
"2022/04/03","09:18","-0.16","-","0.14"
"2022/04/03","09:24","-0.171","-","0.1"
"2022/04/03","09:30","-0.178","-","0.15"
"2022/04/03","09:36","-0.182","-","0.17"
"2022/04/03","09:42","-0.181","-","0.12"
"2022/04/03","09:48","-0.177","-","0.14"
"2022/04/03","09:54","-0.169","-","0.14"
"2022/04/03","10:00","-0.157","-","0.13"
"2022/04/03","10:06","-0.141","-","0.17"
"2022/04/03","10:12","-0.121","-","0.17"
"2022/04/03","10:18","-0.098","-","0.16"
"2022/04/03","10:24","-0.072","-","0.16"
"2022/04/03","10:30","-0.042","-","0.27"
"2022/04/03","10:36","-0.01","-","0.27"
"2022/04/03","10:42","0.026","-","0.29"
"2022/04/03","10:48","0.064","-","0.36"
"2022/04/03","10:54","0.104","-","0.44"
"2022/04/03","11:00","0.147","-","0.49"
"2022/04/03","11:06","0.192","-","0.54"
"2022/04/03","11:12","0.238","-","0.62"
"2022/04/03","11:18","0.286","-","0.63"
"2022/04/03","11:24","0.336","-","0.7"
"2022/04/03","11:30","0.386","-","0.79"
"2022/04/03","11:36","0.438","-","0.84"
"2022/04/03","11:42","0.49","-","0.92"
"2022/04/03","11:48","0.543","-","0.94"
"2022/04/03","11:54","0.596","-","0.98"
